id,nama_formula,komposisi,gejala_target,konteks_penggunaan,ringkasan_manfaat,evidence_level,traditional_formula_inference,catatan_keamanan,sumber_utama
formula_001,Jahe-Madu,"jahe; madu","mual ringan; tenggorokan tidak nyaman; batuk ringan","keluhan ringan saluran napas atas atau lambung ringan","Kombinasi jahe dan madu umum digunakan sebagai ramuan pendamping untuk mual ringan, tenggorokan tidak nyaman, dan batuk ringan. Dasar manfaat berasal dari kombinasi evidensi jahe untuk mual dan madu untuk iritasi tenggorokan/batuk.","medium",true,"Madu tidak untuk bayi <12 bulan. Hati-hati pada diabetes, alergi, atau penggunaan antikoagulan. Tidak untuk gejala berat.","Inferensi terkurasi dari Kemenkes Keslan jahe dan madu; PubMed ginger review; PubMed honey review"
formula_002,Serai-Kayu Manis-Madu,"serai; kayu manis; madu","sakit tenggorokan ringan; batuk ringan; rasa tidak nyaman tenggorokan","keluhan tenggorokan ringan sebagai diferensial dari penyakit tropis","Rebusan serai dan kayu manis dengan tambahan madu setelah hangat dapat digunakan sebagai ramuan tradisional pendamping untuk melegakan tenggorokan ringan. Klaim manfaat formula ini merupakan inferensi terkurasi dari manfaat tiap bahan.","low_to_medium",true,"Madu tidak untuk bayi <12 bulan. Tidak menggantikan pemeriksaan bila demam tinggi, ruam, sulit menelan, atau sesak.","Inferensi terkurasi dari Kemenkes Keslan madu dan literatur PubMed kayu manis/serai"
formula_003,Kunyit Asam,"kunyit; asam jawa; gula/garam opsional","nyeri tenggorokan ringan; rasa panas badan; gangguan pencernaan ringan","keluhan ringan, pemulihan, atau rasa tidak nyaman tubuh","Kunir asam dikenal luas dalam jamu Indonesia dan pada sumber Kemenkes disebut dipercaya membantu menyegarkan tubuh, mendinginkan perut, dan mengatasi nyeri tenggorokan.","medium",false,"Perlu hati-hati pada gangguan lambung tertentu dan konsumsi gula. Bukan terapi infeksi berat.","Kemenkes Keslan 7 jamu herbal"
formula_004,Temulawak-Kencur-Asem,"temulawak; kencur; asem kawak; gula aren; pandan; jinten opsional","nafsu makan menurun; mual ringan; lemas; gejala pilek ringan","fase pemulihan atau keluhan pencernaan ringan","Ramuan temulawak tradisional sering dipakai untuk membantu mual, pusing, gejala pilek, dan meningkatkan nafsu makan terutama pada anak.","medium",false,"Tidak menggantikan evaluasi medis pada demam tinggi atau dehidrasi. Hati-hati pada kondisi hati/empedu tertentu.","Kemenkes Keslan 7 jamu herbal; review temulawak PubMed"
formula_005,Beras Kencur,"beras; kencur; jahe; asam kawak; kunyit; pala; bahan rempah lain opsional","nafsu makan menurun; pegal ringan; kembung; lemas","masa pemulihan atau keluhan tubuh ringan","Beras kencur merupakan jamu populer yang dipercaya membantu pegal, meningkatkan nafsu makan, dan memberi rasa segar pada tubuh.","low_to_medium",false,"Gunakan untuk gejala ringan. Bukan pilihan utama untuk demam tinggi atau infeksi akut.","Kemenkes Keslan 7 jamu herbal; review Kaempferia galanga PubMed"
formula_006,Pahitan,"sambiloto; meniran; brotowali; lempuyang; adas; empon-empon opsional","nafsu makan menurun; gangguan pencernaan ringan; pusing ringan","keluhan ringan tradisional","Pahitan adalah formula jamu tradisional berbahan pahit yang dalam sumber Kemenkes disebut sering digunakan untuk gangguan pencernaan dan penambah nafsu makan, namun bukti klinis langsung formulanya terbatas.","low_to_medium",false,"Rasa sangat pahit dan tidak cocok untuk semua orang. Tidak untuk hamil tanpa evaluasi medis. Jangan dijadikan terapi utama penyakit akut.","Kemenkes Keslan 7 jamu herbal"
formula_007,Temulawak-Kunyit-Meniran,"temulawak; kunyit; meniran","kelelahan; kebugaran menurun; fase pemulihan","pendamping masa pemulihan atau promotif","Formula ini memiliki studi klinis lokal yang menunjukkan keamanan dan manfaat terhadap kebugaran jasmani, sehingga dapat diposisikan sebagai formula pendamping pada fase pemulihan, bukan terapi penyakit akut.","medium",false,"Tidak untuk menggantikan terapi infeksi. Tetap perlu evaluasi medis pada gejala akut.","Studi klinis Kemenkes/BKPK formula temulawak-kunyit-meniran"
formula_008,Wedang Sinden,"kencur; jahe; sereh; madu; jeruk nipis opsional","batuk ringan; suara serak; tenggorokan tidak nyaman; paparan polusi ringan","keluhan saluran napas atas ringan tanpa red flag","Wedang Sinden dari kencur, jahe, sereh, dan madu dapat diposisikan sebagai ramuan pendamping untuk batuk ringan, suara serak, atau tenggorokan tidak nyaman akibat paparan polusi ringan.","medium",false,"Madu tidak untuk bayi <12 bulan. Tidak menggantikan evaluasi medis pada sesak, batuk darah, demam tinggi, atau keluhan memburuk.","AyoSehat Kemenkes kencur untuk dampak polusi; Kemenkes Keslan batuk tradisional"
formula_009,Jeruk Nipis-Madu,"jeruk nipis; madu; air hangat","batuk pilek ringan; tenggorokan tidak nyaman; hidung meler ringan","keluhan batuk pilek ringan tanpa red flag","Jeruk nipis dan madu umum digunakan sebagai ramuan tradisional pendamping batuk pilek ringan dan tenggorokan tidak nyaman. Madu memberi efek demulsen, sedangkan jeruk nipis digunakan secara tradisional.","medium",false,"Madu tidak untuk bayi <12 bulan. Hati-hati pada lambung sensitif dan diabetes. Rujuk bila sesak, demam tinggi, batuk darah, atau gejala menetap.","Kemenkes Keslan batuk dengan pengobatan tradisional; Kemenkes Keslan manfaat madu"
formula_010,Gel Lidah Buaya Topikal,"lidah buaya; air bersih","gatal ringan; ruam merah ringan; iritasi kulit ringan","keluhan kulit ringan tanpa demam dan tanpa tanda alergi berat","Gel lidah buaya dapat diposisikan sebagai pendamping topikal untuk membantu menenangkan gatal atau kemerahan ringan pada kulit. Penggunaan harus sangat terbatas, higienis, dan dihentikan bila iritasi memburuk.","low_to_medium",false,"Hanya untuk kulit utuh dan keluhan ringan. Jangan dipakai pada luka terbuka, area mata, ruam melepuh, ruam berdarah, atau alergi berat. Rujuk bila ada demam, sesak, bengkak wajah/bibir, atau ruam menyebar cepat.","PubMed aloe vera dermatitis review; CDC dengue rash warning signs; kurasi keamanan alergi kulit"
